Timestamp(UTC),EAST_LONGITUDE(deg),NORTH_LATITUDE(deg),ID(-),T(degC),RH(%),LightVOC(ADU),HeavyVOC(ADC),Ozone(ADU),CO(ADU),CO2(ADU),Elevation(ft),Distance From Road (miles)
2024-10-26T08:05:29.00+00:00,-105.878796,39.692533,YPOD,10.24,28.48,957,1800,1541,4701,263,10561.35204,0.022496023
2024-10-26T08:05:38.00+00:00,-105.878737,39.692609,YPOD,10.15,28.43,975,1802,1545,4699,257,10562.66438,0.027767049
2024-10-26T08:05:49.00+00:00,-105.878655,39.692712,YPOD,10.05,28.59,974,1803,1543,4747,255,10564.3048,0.035367103
2024-10-26T08:05:59.00+00:00,-105.878552,39.692809,YPOD,9.96,28.73,975,1804,1541,4705,256,10566.2733,0.043129194
2024-10-26T08:06:10.00+00:00,-105.878459,39.692912,YPOD,9.86,28.85,974,1803,1536,4690,260,10568.24181,0.051395497
2024-10-26T08:06:20.00+00:00,-105.878373,39.693006,YPOD,9.76,28.84,967,1797,1520,4631,262,10570.21031,0.059061088
2024-10-26T08:06:31.00+00:00,-105.878299,39.693107,YPOD,9.65,29.01,958,1785,1517,4583,264,10572.17882,0.066996584
2024-10-26T08:06:40.00+00:00,-105.87823,39.693203,YPOD,9.56,29.29,951,1776,1511,4529,267,10574.4754,0.07452688
2024-10-26T08:06:52.00+00:00,-105.878148,39.693326,YPOD,9.47,29.35,941,1765,1491,4469,274,10577.75624,0.084053329
2024-10-26T08:07:01.00+00:00,-105.878104,39.69341,YPOD,9.38,29.39,937,1753,1500,4452,279,10579.72475,0.090309852
2024-10-26T08:07:12.00+00:00,-105.878048,39.693533,YPOD,9.27,29.42,929,1737,1476,4391,278,10582.34942,0.099297135
2024-10-26T08:07:24.00+00:00,-105.877977,39.693645,YPOD,9.16,29.22,918,1722,1473,4309,279,10584.97409,0.107895134
2024-10-26T08:07:33.00+00:00,-105.877935,39.693753,YPOD,9.07,29.59,915,1707,1484,4293,282,10587.27068,0.115639685
2024-10-26T08:07:43.00+00:00,-105.877874,39.693853,YPOD,8.98,30.02,914,1696,1483,4284,278,10589.23918,0.123265717
2024-10-26T08:07:52.00+00:00,-105.877829,39.693954,YPOD,8.9,30.16,913,1686,1479,4269,273,10590.8796,0.130627686
2024-10-26T08:08:02.00+00:00,-105.877788,39.694064,YPOD,8.81,30.32,909,1677,1466,4230,276,10592.84811,0.138486269
2024-10-26T08:08:11.00+00:00,-105.877764,39.69415,YPOD,8.79,30.3,905,1669,1466,4239,282,10594.48853,0.144474685
2024-10-26T08:08:21.00+00:00,-105.877705,39.694258,YPOD,8.7,30.42,897,1661,1455,4192,285,10596.78512,0.152568445
2024-10-26T08:08:32.00+00:00,-105.877671,39.69438,YPOD,8.6,31.06,889,1648,1459,4145,284,10599.73787,0.161073191
2024-10-26T08:08:41.00+00:00,-105.877635,39.694489,YPOD,8.5,31.17,882,1642,1450,4121,280,10602.36254,0.168788442
2024-10-26T08:08:48.00+00:00,-105.877596,39.694561,YPOD,8.45,31.21,876,1637,1442,4069,278,10604.33105,0.174176121
2024-10-26T08:08:58.00+00:00,-105.87754,39.694663,YPOD,8.36,31.27,869,1630,1444,4037,274,10606.95572,0.181823207
2024-10-26T08:09:07.00+00:00,-105.877499,39.694759,YPOD,8.29,31.58,864,1623,1444,4019,269,10609.25231,0.188796929
2024-10-26T08:09:18.00+00:00,-105.877446,39.694882,YPOD,8.21,32.33,858,1613,1450,3937,268,10612.20506,0.197741751
2024-10-26T08:09:28.00+00:00,-105.8774,39.694994,YPOD,8.15,33,857,1607,1455,3908,272,10614.50165,0.205844751
2024-10-26T08:09:39.00+00:00,-105.877341,39.695114,YPOD,8.05,32.98,859,1605,1444,3864,283,10617.78249,0.214710006
2024-10-26T08:09:49.00+00:00,-105.877299,39.695223,YPOD,7.99,31.98,856,1604,1418,3817,297,10622.04758,0.222545096
2024-10-26T08:09:56.00+00:00,-105.877275,39.695301,YPOD,7.93,31.55,856,1598,1425,3775,306,10625.00034,0.228040241
2024-10-26T08:10:05.00+00:00,-105.877248,39.695396,YPOD,7.88,31.61,856,1589,1423,3745,318,10628.93735,0.234694871
2024-10-26T08:10:15.00+00:00,-105.877199,39.695497,YPOD,7.82,31.19,853,1582,1416,3729,324,10633.53052,0.242144026
2024-10-26T08:10:24.00+00:00,-105.877159,39.695588,YPOD,7.76,31.31,850,1573,1421,3677,330,10637.79562,0.248779583
2024-10-26T08:10:38.00+00:00,-105.877098,39.695735,YPOD,7.68,32.38,851,1559,1430,3636,331,10644.3573,0.259432831
2024-10-26T08:10:49.00+00:00,-105.87705,39.695852,YPOD,7.59,32.67,852,1553,1431,3591,326,10648.95047,0.267902461
